fighter_name,fighter_url
Magomed Ankalaev,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
Alex Pereira,http://ufcstats.com/fighter-details/e5549c82bfb5582d
Cory Sandhagen,http://ufcstats.com/fighter-details/65f09bacd3957381
Jiri Prochazka,http://ufcstats.com/fighter-details/009341ed974bad72
Khalil Rountree Jr.,http://ufcstats.com/fighter-details/749f572d1d3161fb
Josh Emmett,http://ufcstats.com/fighter-details/fba03cd6cc28dc41
Youssef Zalal,http://ufcstats.com/fighter-details/52c2ae6d2f2d2613
Abus Magomedov,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4
Joe Pyfer,http://ufcstats.com/fighter-details/c1085e1701b13eca
Ateba Gautier,http://ufcstats.com/fighter-details/2f815ed5f8278ba6
Tre'ston Vines,http://ufcstats.com/fighter-details/563a1d42bb0e3cef
Daniel Santos,http://ufcstats.com/fighter-details/b67d6bacc68d4c92
JooSang Yoo,http://ufcstats.com/fighter-details/a44020ea2e8cd026
Patchy Mix,http://ufcstats.com/fighter-details/2cfba6c837c03ed0
Jakub Wiklacz,http://ufcstats.com/fighter-details/6902fcf0610dd303
Edmen Shahbazyan,http://ufcstats.com/fighter-details/4144798612ef96e5
Andre Muniz,http://ufcstats.com/fighter-details/886264a0c9f4ea5e
Punahele Soriano,http://ufcstats.com/fighter-details/64facb6cc564262d
Nikolay Veretennikov,http://ufcstats.com/fighter-details/0f1efce7d2571d10
Macy Chiasson,http://ufcstats.com/fighter-details/9cdd2da1a9104a0b
Yana Santos,http://ufcstats.com/fighter-details/3143bf892608139a
Chris Gutierrez,http://ufcstats.com/fighter-details/45f0cc9d18f35137
Farid Basharat,http://ufcstats.com/fighter-details/a09ed60aa67a3f67
Ramiz Brahimaj,http://ufcstats.com/fighter-details/3d074044a33825e7
Austin Vanderford,http://ufcstats.com/fighter-details/32c3ee378671a5d9
Veronica Hardy,http://ufcstats.com/fighter-details/4798e823ada58fe9
Brogan Walker,http://ufcstats.com/fighter-details/4333a8e70a672eb7
Carlos Ulberg,http://ufcstats.com/fighter-details/9014c02eff8b3d62
Dominick Reyes,http://ufcstats.com/fighter-details/2e19380f34871c6a
Jimmy Crute,http://ufcstats.com/fighter-details/70e1f8a821b72c8b
Ivan Erslan,http://ufcstats.com/fighter-details/64ad3e3b0efa30bb
Jack Jenkins,http://ufcstats.com/fighter-details/a9da3158dd2c2b5a
Ramon Taveras,http://ufcstats.com/fighter-details/c5ccd878231c5407
Jake Matthews,http://ufcstats.com/fighter-details/a845f0735bc67405
Neil Magny,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5
Tom Nolan,http://ufcstats.com/fighter-details/6c3b2525436cf5d4
Charlie Campbell,http://ufcstats.com/fighter-details/b39f7a6c2be17ee8
Navajo Stirling,http://ufcstats.com/fighter-details/b4b496ec2197ee3e
Rodolfo Bellato,http://ufcstats.com/fighter-details/69898645d600abdb
Cam Rowston,http://ufcstats.com/fighter-details/8ebc3a8da015d70c
Andre Petroski,http://ufcstats.com/fighter-details/5f61780fe5e9b6d0
Jamie Mullarkey,http://ufcstats.com/fighter-details/af9f42e6894047fc
Rolando Bedoya,http://ufcstats.com/fighter-details/40a456a25d52ee65
Colby Thicknesse,http://ufcstats.com/fighter-details/ed7d329d7c29428d
Josias Musasa,http://ufcstats.com/fighter-details/723b64c0e9a8f348
Michelle Montague,http://ufcstats.com/fighter-details/ca80d72da81d7224
Luana Carolina,http://ufcstats.com/fighter-details/528b071cf3da7c56
Brando Pericic,http://ufcstats.com/fighter-details/d0fd0d9ee560dae7
Elisha Ellison,http://ufcstats.com/fighter-details/87e4a3a5080ee7ce
Loma Lookboonmee,http://ufcstats.com/fighter-details/4e30e4250cb08b61
Alexia Thainara,http://ufcstats.com/fighter-details/545092d13c67aa49
Diego Lopes,http://ufcstats.com/fighter-details/f166e93d04a8c274
Jean Silva,http://ufcstats.com/fighter-details/52ef95b5860fb28c
Rob Font,http://ufcstats.com/fighter-details/05339613bf8e9808
David Martinez,http://ufcstats.com/fighter-details/9a97acbfd5a08bfa
Rafa Garcia,http://ufcstats.com/fighter-details/e132d47bd9efbbe0
Jared Gordon,http://ufcstats.com/fighter-details/7026eca45f65377b
Kelvin Gastelum,http://ufcstats.com/fighter-details/8c0580d4fff106c1
Dustin Stoltzfus,http://ufcstats.com/fighter-details/71505842fb6455c3
Alexander Hernandez,http://ufcstats.com/fighter-details/262a7d06203657e6
Diego Ferreira,http://ufcstats.com/fighter-details/f53d4f21d1b5f2dc
Santiago Luna,http://ufcstats.com/fighter-details/faf317c665546a36
